;0;12;24;36;48;60;72;84;96;108;120;132;144;156;168;180;cod_regsaud
2009-01;9.0;6.0;6.0;6.0;2.0;1.0;;;;;;;;;;;12002
2010-01;12.0;12.0;10.0;5.0;5.0;5.0;5.0;4.0;4.0;4.0;3.0;2.0;1.0;1.0;2.0;;12002
2011-01;1.0;1.0;1.0;;;;;;;;;1.0;1.0;1.0;;;12002
2012-01;4.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;4.0;4.0;4.0;3.0;;;;12002
2013-01;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;12002
2014-01;5.0;3.0;1.0;1.0;1.0;1.0;;;;;;;;;;;12002
2015-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;12002
2017-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;;12002
2018-01;4.0;3.0;3.0;3.0;3.0;3.0;4.0;;;;;;;;;;12002
2019-01;3.0;3.0;3.0;3.0;3.0;3.0;;;;;;;;;;;12002
2020-01;3.0;2.0;2.0;2.0;2.0;;;;;;;;;;;;12002
2021-01;5.0;4.0;4.0;4.0;;;;;;;;;;;;;12002
2022-01;8.0;4.0;5.0;;;;;;;;;;;;;;12002
2023-01;7.0;6.0;;;;;;;;;;;;;;;12002
2024-01;6.0;;;;;;;;;;;;;;;;12002
2009-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;27007
2010-01;1.0;1.0;;;;;;;;;;;;;;;27007
2011-01;5.0;5.0;4.0;4.0;2.0;2.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;;;27007
2012-01;1.0;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;27007
2015-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;27007
2016-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;27007
2017-01;6.0;6.0;6.0;6.0;6.0;6.0;4.0;3.0;;;;;;;;;27007
2018-01;6.0;6.0;6.0;6.0;6.0;6.0;6.0;;;;;;;;;;27007
2019-01;3.0;3.0;3.0;3.0;3.0;2.0;;;;;;;;;;;27007
2020-01;4.0;3.0;3.0;3.0;3.0;;;;;;;;;;;;27007
2021-01;2.0;2.0;2.0;2.0;;;;;;;;;;;;;27007
2022-01;2.0;2.0;2.0;;;;;;;;;;;;;;27007
2023-01;1.0;1.0;;;;;;;;;;;;;;;27007
2009-01;7.0;7.0;6.0;6.0;6.0;6.0;7.0;5.0;5.0;4.0;3.0;2.0;2.0;2.0;2.0;2.0;27001
2010-01;10.0;8.0;6.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;4.0;4.0;4.0;4.0;4.0;;27001
2011-01;6.0;5.0;5.0;5.0;4.0;4.0;4.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;;;27001
2012-01;6.0;6.0;6.0;6.0;6.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;4.0;;;;27001
2013-01;2.0;2.0;2.0;2.0;2.0;2.0;1.0;;;;;;;;;;27001
2014-01;11.0;11.0;9.0;9.0;8.0;8.0;8.0;8.0;8.0;8.0;8.0;;;;;;27001
2015-01;7.0;7.0;4.0;4.0;4.0;4.0;3.0;3.0;3.0;3.0;;;;;;;27001
2016-01;18.0;17.0;15.0;13.0;13.0;14.0;14.0;14.0;14.0;;;;;;;;27001
2017-01;8.0;8.0;8.0;8.0;8.0;8.0;7.0;7.0;;;;;;;;;27001
2018-01;12.0;11.0;11.0;11.0;9.0;9.0;9.0;;;;;;;;;;27001
2019-01;13.0;12.0;10.0;10.0;10.0;10.0;;;;;;;;;;;27001
2020-01;20.0;19.0;19.0;18.0;17.0;;;;;;;;;;;;27001
2021-01;9.0;7.0;5.0;6.0;;;;;;;;;;;;;27001
2022-01;12.0;12.0;11.0;;;;;;;;;;;;;;27001
2023-01;23.0;18.0;;;;;;;;;;;;;;;27001
2024-01;12.0;;;;;;;;;;;;;;;;27001
2012-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;27008
2016-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;27008
2017-01;2.0;2.0;2.0;2.0;2.0;2.0;1.0;1.0;;;;;;;;;27008
2018-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;;;27008
2022-01;1.0;1.0;1.0;;;;;;;;;;;;;;27008
2024-01;5.0;;;;;;;;;;;;;;;;27008
2010-01;1.0;;;;;;;;;;;;;;;;27009
2011-01;1.0;;;;;;;;;;;;;;;;27009
2012-01;3.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;;;;27009
2017-01;1.0;;;;;;;;;;;;;;;;27009
